Domain,Resolution,Live
riz.gd,NXDomain,
roflc.at,NXDomain,
rt.se,NXDomain,
rubyurl.com,NXDomain,
seeme.at,NXDomain,
segue.se,NXDomain,
short.cc,NXDomain,
short.ie,NXDomain,
short.ly,NXDomain,
short.nr,NXDomain,
shrunkin.com,NXDomain,
shy.si,NXDomain,
sk.gy,NXDomain,
smll.co,NXDomain,
sn.vc,NXDomain,
sp2.ro,NXDomain,
spn.sr,NXDomain,
su.pr,NXDomain,
tau.pe,NXDomain,
thesa.us,NXDomain,
tini.cc,NXDomain,
tiny.io,NXDomain,
tinytw.it,NXDomain,
tinyuri.ca,NXDomain,
tinyvid.io,NXDomain,
tr.my,NXDomain,
turo.us,NXDomain,
twit.ac,NXDomain,
ucam.me,NXDomain,
unlc.us,NXDomain,
url.co.uk,NXDomain,
url2.fr,NXDomain,
urlbrief.com,NXDomain,
urlot.com,NXDomain,
urub.us,NXDomain,
v5.gd,NXDomain,
vaaa.fr,NXDomain,
valv.im,NXDomain,
vl.am,NXDomain,
vv.vg,NXDomain,
w3t.org,NXDomain,
wapurl.co.uk,NXDomain,
wideo.fr,NXDomain,
x.se,NXDomain,
xgd.in,NXDomain,
xurls.co,NXDomain,
yau.sh,NXDomain,
yourcodeiss.com,NXDomain,
zkr.cz,NXDomain,
zkrat.me,NXDomain,
pnt.me,serverHold,
